Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,US,C5R,Cooper River Landing,Cooper River Landing,SC,RL,--3-----,1301,,3208N 08052W,
,US,CPU,Coopersburg,Coopersburg,PA,RQ,--3-----,9307,,,
,US,COP,Cooperstown,Cooperstown,NY,AI,---4----,0001,,,
,US,CW4,Cooperstown,Cooperstown,ND,RL,--3--6--,0901,,4727N 09807W,
,US,ZCP,Coopersville,Coopersville,MI,RL,-23--6--,0607,,4304N 08556W,
,US,T24,Coopertown,Coopertown,TN,RL,--3-----,1501,,3626N 08658W,
,US,COB,Coos Bay,Coos Bay,OR,RN,1-3-----,9501,,,
,US,OOZ,Coosa,Coosa,GA,RL,--3-----,0901,,3415N 08521W,
,US,OOP,Coosa Pines,Coosa Pines,AL,RL,-23-----,0701,,3320N 08621W,
,US,KOP,Copake,Copake,NY,RL,--3-----,1107,,4606N 07333W,
,US,OPE,Copake Falls,Copake Falls,NY,RL,-23--6--,0401,,4207N 07331W,
,US,OPB,Copan,Copan,OK,RL,123-----,0901,,3654N 09556W,
,US,DZC,Cope,Cope,SC,RL,--3-----,1701,,3322N 08100W,
,US,OPU,Cope,Cope,CO,RL,--3-----,0901,,3939N 10251W,
,US,C3O,Copell,Copell,TX,RL,--3-----,1501,,3244N 09653W,
,US,2FL,Copemish,Copemish,MI,RL,--3-----,1407,,4428N 08555W,
,US,KOG,Copenhagen,Copenhagen,NY,RL,--3-----,1207,,4353N 07540W,
,US,CET,Copiague,Copiague,NY,RQ,--3-----,9307,,,
,US,QCV,Coplay,Coplay,PA,RL,--3-----,1301,,4040N 07529W,
,US,CPY,Copley,Copley,OH,RQ,--3-----,9506,,,
,US,CEJ,Coppell,Coppell,TX,RQ,--3-----,9307,,,
,US,CO9,Copper Canyon,Copper Canyon,TX,RQ,123--6--,1001,,3310N 09709W,
,US,CZC,Copper Centre,Copper Centre,AK,AI,---4----,0001,,,
,US,QCE,Copper Mountain,Copper Mountain,CO,AI,---4----,0001,,,
,US,TGC,Copperas Cove,Copperas Cove,TX,RL,--3-----,0901,,3107N 09754W,
,US,CPI,Copperhill,Copperhill,TN,RQ,--3-----,9307,,,
,US,6OP,Copperopolis,Copperopolis,CA,RL,--3-----,1701,,3758N 12038W,
,US,C9P,Copperton,Copperton,UT,RL,--3-----,1501,,4033N 11205W,
,US,OQL,Coquille,Coquille,OR,RQ,--3--6--,0607,,4311N 12411W,
,US,CGB,Coral Gables,Coral Gables,FL,RL,--3-----,0201,,2543N 08016W,
,US,CPJ,Coral Springs,Coral Springs,FL,RL,--3-----,1401,,2616N 08016W,
,US,CWV,Coral Way Village/Miami,Coral Way Village/Miami,FL,RL,--3-----,0201,,2544N 08019W,
,US,CVB,Coralville,Coralville,IA,RQ,--3-----,9307,,,
,US,UFF,Coram,Coram,NY,RQ,--3-----,9008,,,
,US,CPP,Coraopolis,Coraopolis,PA,RQ,--3-----,9307,,,
,US,CBI,Corbin,Corbin,KY,RQ,--3-----,9008,,,
,US,IOY,Corbin City,Corbin City,NJ,RQ,--3-----,0907,,3918N 07445W,
,US,CO8,Corcoran,Corcoran,MN,RL,--3-----,0901,,4505N 09332W,
